model_name,cue_word,aura_positive_fraction,aura_negative_fraction,aura_net_valence,total_associations
compatible_dataset_MANX_LLM_MistralSmall4,mathematic,0.17391304347826086,0.717391304347826,-0.5434782608695652,46
compatible_dataset_MANX_LLM_MistralSmall4,science,0.46153846153846156,0.4807692307692308,-0.019230769230769218,52
compatible_dataset_MANX_LLM_MistralSmall4,physics,0.2727272727272727,0.5454545454545454,-0.2727272727272727,66
compatible_dataset_MANX_LLM_DeepSeekLarge,mathematic,0.35714285714285715,0.5535714285714286,-0.19642857142857145,56
compatible_dataset_MANX_LLM_DeepSeekLarge,science,0.4098360655737705,0.45901639344262296,-0.04918032786885246,61
compatible_dataset_MANX_LLM_DeepSeekLarge,physics,0.3620689655172414,0.5,-0.13793103448275862,58
compatible_dataset_MANX_LLM_Grok41FastReasoning,mathematic,0.36666666666666664,0.5333333333333333,-0.16666666666666669,90
compatible_dataset_MANX_LLM_Grok41FastReasoning,science,0.5060240963855421,0.37349397590361444,0.1325301204819277,83
compatible_dataset_MANX_LLM_Grok41FastReasoning,physics,0.38461538461538464,0.42857142857142855,-0.04395604395604391,91
compatible_dataset_MANX_LLM_qwen4bthink,mathematic,0.4375,0.25,0.1875,48
compatible_dataset_MANX_LLM_qwen4bthink,science,0.5692307692307692,0.2,0.3692307692307692,65
compatible_dataset_MANX_LLM_qwen4bthink,physics,0.4857142857142857,0.22857142857142856,0.2571428571428571,70
compatible_dataset_MANX_LLM_ministral3b,mathematic,0.34545454545454546,0.43636363636363634,-0.09090909090909088,55
compatible_dataset_MANX_LLM_ministral3b,science,0.5294117647058824,0.22058823529411764,0.3088235294117647,68
compatible_dataset_MANX_LLM_ministral3b,physics,0.3695652173913043,0.3695652173913043,0.0,46
compatible_dataset_MANX_LLM_mistralsmall,mathematic,0.18181818181818182,0.7272727272727273,-0.5454545454545454,44
compatible_dataset_MANX_LLM_mistralsmall,science,0.4909090909090909,0.41818181818181815,0.07272727272727275,55
compatible_dataset_MANX_LLM_mistralsmall,physics,0.29850746268656714,0.5373134328358209,-0.23880597014925375,67
compatible_dataset_MANX_LLM_anitamistral,mathematic,0.08333333333333333,0.8055555555555556,-0.7222222222222222,36
compatible_dataset_MANX_LLM_anitamistral,science,0.6388888888888888,0.3055555555555556,0.33333333333333326,36
compatible_dataset_MANX_LLM_anitamistral,physics,0.21428571428571427,0.5714285714285714,-0.3571428571428571,28
compatible_dataset_MANX_LLM_qwen4bunce,mathematic,0.5679012345679012,0.2962962962962963,0.2716049382716049,81
compatible_dataset_MANX_LLM_qwen4bunce,science,0.5784313725490197,0.20588235294117646,0.3725490196078432,102
compatible_dataset_MANX_LLM_qwen4bunce,physics,0.49504950495049505,0.24752475247524752,0.24752475247524752,101
compatible_dataset_MANX_LLM_granite4h,mathematic,0.4025974025974026,0.35064935064935066,0.051948051948051965,77
compatible_dataset_MANX_LLM_granite4h,science,0.4444444444444444,0.2638888888888889,0.18055555555555552,72
compatible_dataset_MANX_LLM_granite4h,physics,0.32038834951456313,0.33980582524271846,-0.01941747572815533,103
compatible_dataset_MANX_LLM_qwen35_9b,mathematic,0.3793103448275862,0.5086206896551724,-0.1293103448275862,116
compatible_dataset_MANX_LLM_qwen35_9b,science,0.436241610738255,0.348993288590604,0.08724832214765099,149
compatible_dataset_MANX_LLM_qwen35_9b,physics,0.37142857142857144,0.4142857142857143,-0.04285714285714287,140
compatible_dataset_MANX_LLM_qwen34binstruct,mathematic,0.7068965517241379,0.25862068965517243,0.44827586206896547,58
compatible_dataset_MANX_LLM_qwen34binstruct,science,0.7536231884057971,0.18840579710144928,0.5652173913043479,69
compatible_dataset_MANX_LLM_qwen34binstruct,physics,0.6333333333333333,0.21666666666666667,0.41666666666666663,60
compatible_dataset_MANX_LLM_ministral14b,mathematic,0.25675675675675674,0.6891891891891891,-0.4324324324324324,74
compatible_dataset_MANX_LLM_ministral14b,science,0.44047619047619047,0.5119047619047619,-0.0714285714285714,84
compatible_dataset_MANX_LLM_ministral14b,physics,0.3764705882352941,0.5294117647058824,-0.15294117647058825,85
compatible_dataset_MANX_LLM_phi4reasoning,mathematic,0.3829787234042553,0.574468085106383,-0.19148936170212771,47
compatible_dataset_MANX_LLM_phi4reasoning,science,0.46296296296296297,0.2777777777777778,0.18518518518518517,54
compatible_dataset_MANX_LLM_phi4reasoning,physics,0.2692307692307692,0.4807692307692308,-0.21153846153846156,52
compatible_dataset_MANX_LLM_magistralsmall,mathematic,0.25,0.65625,-0.40625,64
compatible_dataset_MANX_LLM_magistralsmall,science,0.4084507042253521,0.5070422535211268,-0.09859154929577463,71
compatible_dataset_MANX_LLM_magistralsmall,physics,0.2875,0.5125,-0.22499999999999998,80
